FID,lat,lon,gid,name,state_name,state_fips,cnty_fips,fips,area,pop2000,crops,manure,forest,primmill,secmill,urban,landfill,wwtf,swg,total
ReAtlas_biomass.3084,32.6519840655615,-88.13227307120997,3084,Sumter,Alabama,01,119,01119,913.29766,14798,0.000,504.283,60295.000,25055.000,493.682,1954.436,0.000,24.470,108548.294,196875.164
ReAtlas_biomass.3085,32.59146402874956,-87.27247272433348,3085,Perry,Alabama,01,105,01105,724.07508,11861,0.000,18.524,29079.000,0.000,0.000,1384.280,0.000,19.613,121067.654,151569.071
ReAtlas_biomass.3087,32.5786653774703,-85.34965678063475,3087,Lee,Alabama,01,081,01081,615.54648,115092,991.114,51.045,24915.000,554056.000,281.542,12215.154,13853.161,190.316,8398.858,614952.190
ReAtlas_biomass.3088,32.388597982333984,-87.1412314352809,3088,Dallas,Alabama,01,047,01047,993.3882,46365,7029.761,57.425,62340.000,138952.000,771.142,5336.929,0.000,76.669,152349.725,366913.651
ReAtlas_biomass.3109,31.26114058007004,-86.4455655081108,3109,Covington,Alabama,01,039,01039,1043.86091,37631,8726.061,3064.205,32474.000,4164.000,501.847,4451.291,0.000,62.227,105538.205,158981.836
ReAtlas_biomass.3110,31.15652355416804,-85.35653000791643,3110,Houston,Alabama,01,069,01069,581.60521,88787,21242.282,504.456,19263.000,0.000,1518.689,9638.574,10758.273,146.818,66766.291,129838.382
ReAtlas_biomass.3111,31.129073937601873,-87.15272367232728,3111,Escambia,Alabama,01,053,01053,952.95227,38440,6734.818,33.961,42398.000,265050.000,505.930,4624.104,1754.217,63.564,29208.211,350372.805
ReAtlas_biomass.70,38.31906873016233,-80.83546581063874,70,Nicholas,,54,067,54067,654.40495,26562,0.000,5.064,109872.000,88885.000,510.012,2774.670,0.000,43.923,607.370,202698.039
ReAtlas_biomass.2826,39.098161294463615,-75.53657206500773,2826,Kent,Delaware,10,001,10001,598.90363,126697,83568.951,67.694,8790.000,5268.000,1486.030,13656.945,7137.361,209.506,8532.216,128716.702
ReAtlas_biomass.2827,38.70781068070434,-75.38669182056142,2827,Sussex,Delaware,10,005,10005,944.28721,156638,126587.038,431.747,38828.000,8415.000,1804.313,16975.130,7355.761,259.017,8793.490,209449.496
ReAtlas_biomass.126,43.94544862865272,-89.81409965084941,126,Adams,Wisconsin,55,001,55001,688.49255,18643,49788.833,18.225,42614.000,0.000,0.000,1943.294,116.000,30.828,10373.378,104884.558
ReAtlas_biomass.482,32.18411240869617,-94.3093914205217,482,Panola,Texas,48,365,48365,821.34071,22756,0.000,292.940,78443.000,0.000,244.800,2627.868,0.000,37.629,4561.402,86207.639
ReAtlas_biomass.182,46.59375243656903,-122.36592710223664,182,Lewis,Washington,53,041,53041,2436.66276,68600,300.650,1576.407,151928.000,566015.000,1783.901,9701.691,6154.124,113.437,0.000,737573.211
ReAtlas_biomass.183,46.46766118229675,-118.83123578104608,183,Franklin,Washington,53,021,53021,1265.36837,49347,64891.776,888.724,0.000,0.000,257.047,5567.686,0.000,81.600,0.000,71686.833
ReAtlas_biomass.184,46.282633294579874,-119.4127767362024,184,Benton,Washington,53,005,53005,1760.10762,142475,53127.814,8.174,0.000,0.000,497.765,16085.302,0.000,235.597,0.000,69954.653
ReAtlas_biomass.185,46.35121365991483,-117.54787965224816,185,Garfield,Washington,53,023,53023,718.27053,2397,55381.821,8.028,0.000,0.000,0.000,356.817,0.000,3.964,0.000,55750.631
ReAtlas_biomass.186,46.312275917466216,-117.92461589824259,186,Columbia,Washington,53,013,53013,873.55574,4064,71539.057,0.000,0.000,0.000,8.165,451.054,0.000,6.720,0.000,72004.996
ReAtlas_biomass.187,46.3045363542079,-118.51930793073672,187,,Washington,53,071,53071,1299.23612,55180,211602.743,21.366,0.000,0.000,24.494,6487.417,4939.378,91.246,0.000,223166.644
ReAtlas_biomass.188,46.5176442294439,-123.7294394430638,188,Pacific,Washington,53,049,53049,936.2118,20984,0.000,265.652,11731.000,194445.000,4.082,2601.304,0.000,34.699,0.000,209081.737
ReAtlas_biomass.2947,36.13959584284738,-119.89660461833552,2947,Kings,California,06,031,06031,1391.61703,129461,132084.943,20208.565,0.000,0.000,20.412,14819.864,6486.445,214.077,0.000,173834.306
ReAtlas_biomass.2856,39.871640719281366,-104.38137497359637,2856,Adams,Colorado,08,001,08001,1197.56935,363857,40602.946,167.490,0.000,0.000,6327.720,37560.856,24791.750,601.674,0.000,110052.437
ReAtlas_biomass.2706,32.16348456722579,-81.87210448210939,2706,Evans,Georgia,13,109,13109,186.8944,10495,3078.865,749.717,14033.000,111327.000,4.082,1219.010,0.000,17.355,21125.059,151554.088
ReAtlas_biomass.573,29.835179338328928,-95.43586905746452,573,Harris,Texas,48,201,48201,1773.49474,3400578,6155.564,105.417,21231.000,53469.000,26339.825,365749.389,89429.000,5623.196,0.000,568102.391
ReAtlas_biomass.2666,32.99765869541552,-82.79298545536653,2666,Washington,Georgia,13,303,13303,684.69048,21176,5549.867,122.612,41379.000,0.000,248.882,2548.795,0.000,35.017,15398.813,65282.986
ReAtlas_biomass.2667,33.038174472550864,-84.67814240085741,2667,Meriwether,Georgia,13,199,13199,505.07299,22534,333.914,16.600,36881.000,341993.000,4.082,2604.003,0.000,37.262,9803.203,391673.064
ReAtlas_biomass.2829,41.75943293780053,-73.20403688037132,2829,Litchfield,Connecticut,09,005,09005,944.66916,182193,0.000,0.000,17130.000,10225.000,1624.831,20085.171,15127.161,301.274,421.848,64915.285
ReAtlas_biomass.2830,41.79222242701541,-72.71990201303112,2830,Hartford,Connecticut,09,003,09003,750.59929,857183,0.000,0.000,3124.000,3260.000,7156.015,93824.219,16814.320,1417.438,45.360,125641.352
ReAtlas_biomass.2833,41.40839122416864,-72.93288472076327,2833,,Connecticut,09,009,09009,619.38416,824008,0.000,0.000,8209.000,6246.000,4242.010,90744.707,13328.320,1362.580,635.040,124767.657
ReAtlas_biomass.2834,41.49663339342994,-72.12842569398882,2834,,Connecticut,09,011,09011,692.23606,259088,0.000,0.000,9522.000,5931.000,787.471,28848.658,6573.161,428.428,77.112,52167.830
ReAtlas_biomass.2835,41.451104184346214,-72.52991319769001,2835,Middlesex,Connecticut,09,007,09007,384.62193,155071,0.000,0.000,14416.000,24708.000,2028.701,17394.577,0.000,256.425,54.432,58858.135
ReAtlas_biomass.2836,41.32724166730979,-73.39813849025745,2836,Fairfield,Connecticut,09,001,09001,644.73417,882567,0.000,0.000,559.000,1845.000,6205.392,97323.525,13305.570,1459.413,0.000,120697.900
ReAtlas_biomass.2351,38.00122668482877,-87.89366760592017,2351,Posey,Indiana,18,129,18129,419.44739,27061,143690.305,283.371,13184.000,0.000,489.600,3188.550,2234.988,44.748,3450.989,166566.550
ReAtlas_biomass.2352,37.994082096970125,-87.01770616071241,2352,Spencer,Indiana,18,147,18147,401.2016,20391,62203.537,1193.456,10954.000,13544.000,248.882,2515.791,9385.000,33.719,17973.446,118051.831
ReAtlas_biomass.2353,37.99719571627817,-87.57527127486523,2353,Vanderburgh,Indiana,18,163,18163,235.57311,171922,55038.858,64.732,15436.000,5676.000,1792.066,19680.527,12033.161,284.290,2400.451,112406.084
ReAtlas_biomass.2354,42.35152814809324,-90.28889673562333,2354,,Illinois,17,085,17085,618.70322,22289,128533.840,682.635,16856.000,0.000,16.330,2642.545,0.000,36.857,149045.702,297813.909
ReAtlas_biomass.2267,41.46512620784195,-87.07652954960088,2267,Porter,Indiana,18,127,18127,419.98942,146798,82414.687,293.303,1750.000,11531.000,530.424,17167.612,15113.340,242.745,12501.216,141544.328
ReAtlas_biomass.2268,41.43622517796424,-87.37340459069776,2268,Lake,Indiana,18,089,18089,503.87545,484564,84594.821,502.221,1374.000,0.000,3029.213,55469.775,12614.000,801.275,10004.602,168389.906
ReAtlas_biomass.1256,42.49329011009123,-98.78165062769426,1256,Holt,Nebraska,31,089,31089,2417.65982,11551,238316.467,6297.146,2078.000,0.000,0.000,1268.596,0.000,19.101,0.000,247979.310
ReAtlas_biomass.1257,42.66048766760549,-97.89902763669511,1257,Knox,Nebraska,31,107,31107,1139.65646,9374,92983.327,3203.115,2251.000,0.000,0.000,1029.506,0.000,15.501,97694.554,197177.003
ReAtlas_biomass.1258,42.60992881707489,-97.25135698233862,1258,Cedar,Nebraska,31,027,31027,745.8133,9615,177824.656,4561.711,792.000,0.000,0.000,1055.974,0.000,15.899,92485.411,276735.651
ReAtlas_biomass.1259,42.46601088414428,-99.93210613316512,1259,Brown,Nebraska,31,017,31017,1225.06954,3525,49795.060,458.232,47.000,0.000,0.000,387.135,0.000,5.829,0.000,50693.256
ReAtlas_biomass.2848,40.00308090403724,-103.24646598533013,2848,Washington,Colorado,08,121,08121,2524.11914,4926,84353.814,909.647,0.000,0.000,4.082,502.365,0.000,8.146,0.000,85778.053
ReAtlas_biomass.2764,30.47988352315501,-84.34698503145489,2764,Leon,Florida,12,073,12073,701.14331,239452,0.000,3.284,23463.000,0.000,1983.794,25200.333,5990.761,395.958,7560.605,64597.735
ReAtlas_biomass.2765,30.377507135247455,-83.84088944944855,2765,Jefferson,Florida,12,065,12065,612.41522,12902,3221.409,13.137,95121.000,0.000,244.800,1519.823,0.000,21.335,53969.328,154110.832
ReAtlas_biomass.2766,30.45600517296665,-83.49699933630876,2766,Madison,Florida,12,079,12079,715.7595,18733,2987.774,126.613,108592.000,19180.000,244.800,2124.645,2828.730,30.977,36632.736,172748.275
ReAtlas_biomass.2767,30.476260717193973,-82.9780444217705,2767,Hamilton,Florida,12,047,12047,519.30908,13327,3518.655,45.008,51241.000,0.000,0.000,1382.346,0.000,22.038,4125.946,60334.993
ReAtlas_biomass.2768,30.404185277948713,-85.16258940091251,2768,Calhoun,Florida,12,013,12013,574.52988,13017,4930.025,4.379,59462.000,33586.000,4.082,1531.751,0.000,21.525,5375.614,104915.377
ReAtlas_biomass.2769,30.289251740450922,-84.84948538318125,2769,Liberty,Florida,12,077,12077,843.0652,7021,0.000,2.190,27848.000,91725.000,248.882,909.815,0.000,11.610,0.000,120745.496
ReAtlas_biomass.2770,30.212017591004035,-82.62701390827189,2770,Columbia,Florida,12,023,12023,800.82112,56513,1068.443,50.397,56970.000,78143.000,750.730,6043.384,0.000,93.450,2626.344,145745.748
ReAtlas_biomass.411,33.640020463083864,-95.02276663001845,411,,Texas,48,387,48387,1057.61477,14314,13093.020,97.939,50485.000,0.000,269.294,1811.119,0.000,23.670,89834.573,155614.615
ReAtlas_biomass.412,33.679024641751255,-96.66321347207577,412,Grayson,Texas,48,181,48181,978.57528,110595,39558.974,210.069,0.000,0.000,775.224,12615.388,6588.917,182.880,19300.226,79231.678
ReAtlas_biomass.414,33.66003458371392,-95.58380749104731,414,Lamar,Texas,48,277,48277,932.46803,48499,30978.612,230.209,0.000,0.000,257.047,5486.064,0.000,80.198,89230.378,126262.508
ReAtlas_biomass.415,33.61371922751101,-96.11504891322318,415,Fannin,Texas,48,147,48147,899.22139,31242,37748.529,54.411,0.000,0.000,257.047,3903.247,0.000,51.662,21375.900,63390.796
ReAtlas_biomass.2771,30.345413967971893,-81.71590091926512,2771,Duval,Florida,12,031,12031,847.87343,778879,0.000,499.034,42156.000,115516.000,9283.450,81152.521,40760.160,1287.954,0.000,290655.118
ReAtlas_biomass.1384,46.45862817572627,-99.47841108918584,1384,Logan,,38,047,38047,1011.07114,2308,26483.204,30.673,0.000,0.000,0.000,228.000,0.000,3.817,220424.198,247169.893
ReAtlas_biomass.1385,46.28386719428567,-96.91992284850329,1385,Richland,,38,077,38077,1445.73856,17998,471620.143,197.778,219.000,0.000,12.247,1959.525,0.000,29.761,145186.474,619224.928
ReAtlas_biomass.1402,36.402901872920545,-80.23997763030351,1402,Stokes,,37,169,37169,455.90968,44711,919.013,113.071,30078.000,47480.000,261.130,4598.555,1172.002,73.934,174.182,84869.887
ReAtlas_biomass.1403,36.356854399076106,-77.48410720645745,1403,Northampton,,37,131,37131,550.23552,22086,20967.434,4829.520,67932.000,124067.000,0.000,2408.276,889.791,36.521,12530.246,233660.788
ReAtlas_biomass.1404,36.392554021154176,-76.9540563114474,1404,Hertford,,37,091,37091,357.25634,22601,14003.065,2567.949,52300.000,51670.000,257.047,2369.419,747.963,37.373,2966.544,126919.360
ReAtlas_biomass.1405,36.37386044683447,-78.11143808636709,1405,Warren,,37,185,37185,443.79883,19972,3030.077,1690.473,134615.000,71560.000,501.847,2104.362,563.571,33.026,24886.310,238984.666
