FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.2679,43.207325558165294,-122.1594332589512,2679,871199.000000,1222.292,225.951
ReAtlas_smallhydro.2697,43.245167864045335,-122.34516669857936,2697,871152.000000,1387.353,355.906
ReAtlas_smallhydro.2704,43.27365310601078,-122.40349135669834,2704,871095.000000,1165.753,46.358
ReAtlas_smallhydro.2705,43.324094062704226,-122.19733873227756,2705,871082.000000,1984.415,110.236
ReAtlas_smallhydro.2706,43.28730213061947,-122.38878583168048,2706,871079.000000,1394.052,56.496
ReAtlas_smallhydro.2711,43.16791646942343,-123.37911064837246,2711,871272.000000,1220.384,11.581
ReAtlas_smallhydro.2715,43.21726377816796,-123.36718658556734,2715,871246.000000,2841.399,26.017
ReAtlas_smallhydro.2717,43.317884937892316,-123.06046905700396,2717,870920.000000,1764.775,18.930
ReAtlas_smallhydro.2718,43.285959974083596,-123.25818390835852,2718,870906.000000,1707.041,14.928
ReAtlas_smallhydro.2720,43.298954567025305,-123.22087324489038,2720,870895.000000,2688.009,23.655
ReAtlas_smallhydro.2721,43.31331861311799,-123.18101069529857,2721,870887.000000,3829.994,33.858
ReAtlas_smallhydro.2722,43.28417208215827,-123.3295028334914,2722,870880.000000,2991.597,25.984
ReAtlas_smallhydro.2725,43.2883390139454,-123.38855098740481,2725,870870.000000,1302.965,11.155
ReAtlas_smallhydro.2726,43.317483290055634,-123.25748366553728,2726,870883.000000,1114.364,9.711
ReAtlas_smallhydro.2727,43.31513447642825,-123.27900031715609,2727,870856.000000,1682.144,14.633
ReAtlas_smallhydro.2728,43.30074302545784,-123.37774662433489,2728,870876.000000,1315.941,11.417
ReAtlas_smallhydro.2732,43.61265093198219,-122.13537029011422,2732,864395.000000,2837.762,515.322
ReAtlas_smallhydro.2733,43.627675604310305,-122.14940495026627,2733,864389.000000,2035.785,289.469
ReAtlas_smallhydro.2734,43.635967700019805,-122.17593738509532,2734,864367.000000,2407.280,310.269
ReAtlas_smallhydro.2739,43.677450487073095,-122.24387648194599,2739,864343.000000,1076.523,112.762
ReAtlas_smallhydro.2741,43.69143841580915,-122.26298169569048,2741,864333.000000,1678.274,144.160
ReAtlas_smallhydro.2747,43.72344078533436,-122.34984121456534,2747,864311.000000,1845.822,140.814
ReAtlas_smallhydro.2749,43.71047453185597,-122.42400397677807,2749,864315.000000,9488.886,272.507
ReAtlas_smallhydro.2750,43.7110654234603,-122.423849731323,2750,864330.000000,1564.161,276.542
ReAtlas_smallhydro.2751,43.75485840226622,-122.21918868896049,2751,864334.000000,1922.373,252.395
ReAtlas_smallhydro.2755,43.77607849611667,-122.23027058711878,2755,864302.000000,1873.686,211.155
ReAtlas_smallhydro.2757,43.73621895182865,-122.4552254048667,2757,864297.000000,2871.791,52.165
ReAtlas_smallhydro.2758,43.741131088737184,-122.45717798218186,2758,864290.000000,1993.589,104.003
ReAtlas_smallhydro.2759,43.78441784786837,-122.24833757497674,2759,864293.000000,1171.684,270.472
ReAtlas_smallhydro.2760,43.75795814938002,-122.38334427224939,2760,864287.000000,2177.704,118.996
ReAtlas_smallhydro.2761,43.74455839493711,-122.4935498402551,2761,864289.000000,3844.739,51.640
ReAtlas_smallhydro.2762,43.74414641326698,-122.50777952277369,2762,864276.000000,1918.939,25.689
ReAtlas_smallhydro.2763,43.79333205158782,-122.28414347911803,2763,864281.000000,1497.212,99.114
ReAtlas_smallhydro.2764,43.7862195766761,-122.33540969972637,2764,864270.000000,1432.054,82.218
ReAtlas_smallhydro.2765,43.79425061696505,-122.31251929285838,2765,864273.000000,1509.401,95.341
