FID,gid,name,state_name,crops,manure,forest,primmill,secmill,urban,landfill,total
ReAtlas_biomass.1,1,Kauai,Hawaii,78008.35,58.925,0,0,750.73,6477.55,5650.21,91042.44
ReAtlas_biomass.2,2,Honolulu,Hawaii,0,1534.539,0,0,6250.154,96169.257,35396.55,140799.312
ReAtlas_biomass.3139,3139,Prince of Wales-,Alaska,0,0,726413,180375,244.8,607.144,0,907650.107
ReAtlas_biomass.4,4,Maui,Hawaii,318424.4,170.974,0,0,1004.594,14084.364,7392.161,341288.31
ReAtlas_biomass.3084,3084,Sumter,Alabama,0,504.283,60295,25055,493.682,1954.436,0,196875.164
ReAtlas_biomass.3085,3085,Perry,Alabama,0,18.524,29079,0,0,1384.28,0,151569.071
ReAtlas_biomass.3087,3087,Lee,Alabama,991.114,51.045,24915,554056,281.542,12215.154,13853.161,614952.19
ReAtlas_biomass.3088,3088,Dallas,Alabama,7029.761,57.425,62340,138952,771.142,5336.929,0,366913.651
ReAtlas_biomass.3109,3109,Covington,Alabama,8726.061,3064.205,32474,4164,501.847,4451.291,0,158981.836
ReAtlas_biomass.3110,3110,Houston,Alabama,21242.282,504.456,19263,0,1518.689,9638.574,10758.273,129838.382
ReAtlas_biomass.3111,3111,Escambia,Alabama,6734.818,33.961,42398,265050,505.93,4624.104,1754.217,350372.805
ReAtlas_biomass.70,70,Nicholas,West Virginia,0,5.064,109872,88885,510.012,2774.67,0,202698.039
ReAtlas_biomass.2826,2826,Kent,Delaware,83568.951,67.694,8790,5268,1486.03,13656.945,7137.361,128716.702
ReAtlas_biomass.2827,2827,Sussex,Delaware,126587.038,431.747,38828,8415,1804.313,16975.13,7355.761,209449.496
ReAtlas_biomass.126,126,Adams,Wisconsin,49788.833,18.225,42614,0,0,1943.294,116,104884.558
ReAtlas_biomass.482,482,Panola,Texas,0,292.94,78443,0,244.8,2627.868,0,86207.639
ReAtlas_biomass.182,182,Lewis,Washington,300.65,1576.407,151928,566015,1783.901,9701.691,6154.124,737573.211
ReAtlas_biomass.183,183,Franklin,Washington,64891.776,888.724,0,0,257.047,5567.686,0,71686.833
ReAtlas_biomass.184,184,Benton,Washington,53127.814,8.174,0,0,497.765,16085.302,0,69954.653
ReAtlas_biomass.185,185,Garfield,Washington,55381.821,8.028,0,0,0,356.817,0,55750.631
ReAtlas_biomass.186,186,Columbia,Washington,71539.057,0,0,0,8.165,451.054,0,72004.996
ReAtlas_biomass.187,187,Walla Walla,Washington,211602.743,21.366,0,0,24.494,6487.417,4939.378,223166.644
ReAtlas_biomass.188,188,Pacific,Washington,0,265.652,11731,194445,4.082,2601.304,0,209081.737
ReAtlas_biomass.2947,2947,Kings,California,132084.943,20208.565,0,0,20.412,14819.864,6486.445,173834.306
ReAtlas_biomass.2856,2856,Adams,Colorado,40602.946,167.49,0,0,6327.72,37560.856,24791.75,110052.437
ReAtlas_biomass.2706,2706,Evans,Georgia,3078.865,749.717,14033,111327,4.082,1219.01,0,151554.088
ReAtlas_biomass.573,573,Harris,Texas,6155.564,105.417,21231,53469,26339.825,365749.389,89429,568102.391
ReAtlas_biomass.2666,2666,Washington,Georgia,5549.867,122.612,41379,0,248.882,2548.795,0,65282.986
