FID,gid,nid_id1,lat,lon,cordfrom,dmname,owname,county,city,state,water,btyear,stor,fedreg,esth,esthfr,huc02,qyr,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,mwhyr,mwh01,mwh02,mwh03,mwh04,mwh05,mwh06,mwh07,mwh08,mwh09,mwh10,mwh11,mwh12,cf,mw
ReAtlas_NonPowered_Dams.24,24,PA00128,40.6507830700,-80.3859151900,NHD,MONTGOMERY LOCKS AND DAM,CELRP,BEAVER,INDUSTRY,PA,OHIO RIVER,1936,57500,CE,18,Lock/Dam lift from USACE,5,37166.2164100,54721.5806500,49672.0654900,61615.7560300,55981.7555300,39866.9281200,26222.7634800,20282.3949500,17650.0419100,22659.8245300,20484.1395100,30537.4650300,47082.2846100,419625.862100,52473.6601400,43022.0679100,59084.6280900,51950.3883900,38229.2253300,24334.4056400,19449.2097400,16924.9917400,21028.0416200,19642.6667900,28338.3962100,45148.1805200,47.9796686500,99.8391548300
ReAtlas_NonPowered_Dams.30,30,PA00126,40.5033378700,-80.0893062500,NHD,EMSWORTH LOCKS AND DAMS,CELRP,ALLEGHENY,EMSWORTH,PA,OHIO RIVER,1938,42700,CE,18,Lock/Dam lift from USACE,5,31424.2770400,46267.4513600,41998.0535500,52096.5213600,47332.9374000,33707.7463100,22171.5166000,17148.8964800,14923.2249100,19159.0286100,17319.4728200,25819.6247500,39808.3770100,354796.388100,44366.8200000,36375.4374600,49956.4362800,43924.3903400,32323.0579700,20574.8978000,16444.4329800,14310.1902900,17779.3455800,16608.0021800,23960.2978000,38173.0794600,47.9796686500,84.4146529700
ReAtlas_NonPowered_Dams.39,39,AL01433,31.2593186800,-85.1110731100,NHD,GEORGE W ANDREWS LOCK AND DAM,CESAM,HOUSTON,GORDON,AL/GA,CHATTAHOOCHEE RIVER,1963,18180,CE,25,Lock/Dam lift from USACE,3,8203.29150800,8829.79677300,10963.3127600,13617.2172700,11186.4408600,7416.76933000,7214.02768800,8170.23009600,6586.76168700,5948.51656200,4725.01017500,6016.09037300,7953.45269400,128638.078300,11759.8270900,13188.2863900,18135.8783900,14417.8904100,9877.90853100,9297.95829400,10881.3935000,8772.47579900,7666.87643800,6292.93109200,7753.97043100,10592.6819000,26.6610582900,55.0792544300
ReAtlas_NonPowered_Dams.47,47,PA00127,40.5503966700,-80.2045161200,NHD,DASHIELDS LOCKS AND DAM,CELRP,ALLEGHENY,AMBRIDGE,PA,OHIO RIVER,1929,17000,CE,10,Lock/Dam lift from USACE,5,31559.2634200,46466.1982100,42178.4607300,52320.3076100,47536.2611600,33852.5415800,22266.7567500,17222.5614200,14987.3292400,19241.3282900,17393.8704900,25930.5357400,39979.3782100,197955.808000,24754.1124900,20295.3844900,27872.7942000,24507.2624000,18034.3917600,11479.5997200,9175.03990300,7984.25625700,9919.84371100,9266.30202700,13368.4565800,21298.3644700,47.9796686500,47.0984806900
ReAtlas_NonPowered_Dams.48,48,WV09101,39.3129379400,-80.0339240500,NHD,TYGART DAM,CELRP,TAYLOR,GRAFTON,WV,TYGART RIVER,1938,355000,CE,133,Head estimated by upstream/downstream pool elevation,5,2359.57999200,3249.22440100,3366.99067700,4192.26253700,3719.36521400,2795.91558800,1913.29320500,1296.92608800,868.429550600,1041.17031200,997.879833400,2127.93614000,2822.52367300,197512.539500,23099.8151000,21620.5654900,29804.1863200,25589.2279700,19877.0922400,13163.4548400,9220.27817700,6173.95401800,7163.25043200,7094.25905900,14640.1979600,20066.2579400,47.9796686500,46.9930163900
ReAtlas_NonPowered_Dams.50,50,WV08902,37.6407207400,-80.8866240500,NHD,BLUESTONE DAM,CELRH,SUMMERS,HINTON WEST VIRGINIA,WV,NEW RIVER,1947,631000,CE,48,Head estimated by upstream/downstream pool elevation,5,6255.05576800,7140.49838100,8230.78329700,10022.5225600,9879.77695600,7577.92414700,5302.37115700,4182.18923800,2965.96805800,3735.06749800,3177.85295600,6318.07383500,6725.77820100,188327.531300,18259.1258400,19010.2996200,25628.8134100,24448.8343400,19377.6769100,13121.4292200,10694.3683100,7584.34231500,9242.92591900,8126.15785800,15634.9218400,17198.6357300,47.9796686500,44.8076805000
ReAtlas_NonPowered_Dams.53,53,PA00113,40.5370126700,-79.8153001200,NHD,ALLEGHENY LOCK AND DAM 03,CELRP,ALLEGHENY,OAKMONT,PA,ALLEGHENY RIVER,1934,16800,CE,14,Lock/Dam lift from USACE,5,20953.5010200,29527.8985100,26022.6608600,34474.5910900,33529.5126100,21480.0655500,12563.6554100,10249.8085000,9512.62011700,12705.9695200,12833.9782300,19128.0041300,29713.9128100,184003.474300,22022.7117500,17530.1767300,25712.0899500,24200.5399900,16020.4185200,9068.04845800,7644.58663000,7094.77143500,9170.76627300,9571.93086700,13805.9874100,22161.4462900,47.9796686500,43.7788826200
ReAtlas_NonPowered_Dams.59,59,PA00112,40.4893120000,-79.9139403200,NHD,ALLEGHENY LOCK AND DAM 02,CELRP,ALLEGHENY,SHARPSBURG,PA,ALLEGHENY RIVER,1934,14500,CE,11,Lock/Dam lift from USACE,5,21132.9390200,29780.7644600,26245.5092600,34769.8186800,33816.6469000,21664.0128500,12671.2458900,10337.5840500,9594.08266100,12814.7787200,12943.8836500,19291.8092500,29968.3717200,145812.237800,17451.7404900,13891.6632300,20375.3618600,19177.5449000,12695.2661200,7185.91017200,6057.89802300,5622.20090300,7267.30817000,7585.20818500,10940.4560200,17561.6796800,47.9796686500,34.6922625500
ReAtlas_NonPowered_Dams.60,60,PA00114,40.6135564000,-79.7176230500,NHD,ALLEGHENY LOCK AND DAM 04,CELRP,ALLEGHENY,BRACKENRIDGE,PA,ALLEGHENY RIVER,1927,9000,CE,11,Lock/Dam lift from USACE,5,20741.3772700,29228.9714400,25759.2192300,34125.5859400,33190.0750200,21262.6110900,12436.4666500,10146.0440800,9416.31866000,12577.3400400,12704.0528400,18934.3608800,29413.1026100,143110.555100,17128.3858400,13634.2714900,19997.8368800,18822.2136800,12460.0418300,7052.76600500,5945.65423400,5518.02992900,7132.65582000,7444.66562300,10737.7457400,17236.2880200,47.9796686500,34.0494668200
ReAtlas_NonPowered_Dams.63,63,KY03029,37.7356266100,-82.7291909200,NHD,DEWEY DAM,CELRH,FLOYD,PAINTSVILLE,KY,JOHNS CREEK OF LEVISA FORK,1949,93300,CE,86,Head estimated from NID,5,2468.59085000,3126.40605400,3790.57276000,4119.09130100,4971.97332600,2947.69859500,2195.15161200,1644.32174400,1096.48723200,890.602457400,1056.99688200,1734.91403700,2174.17174100,133164.651300,14323.6616500,15685.9145700,18871.6593700,22044.3359800,13504.9115800,9732.68690200,7533.47706500,5023.56758500,3948.68164200,4842.64214100,7692.12251100,9960.99030300,47.9796686500,31.6830954400
ReAtlas_NonPowered_Dams.65,65,PA00117,40.8195816700,-79.5287499200,NHD,ALLEGHENY LOCK AND DAM 07,CELRP,ARMSTRONG,KITTANNING,PA,ALLEGHENY RIVER,1931,8400,CE,13,Lock/Dam lift from USACE,5,16312.5149100,22987.7710800,20258.9077100,26838.8218600,26103.0686000,16722.4507900,9780.93427200,7979.58078000,7405.67208200,9891.72726100,9991.38335000,14891.3469100,23132.5851100,133016.545300,15920.2702400,12672.6060800,18587.3304300,17494.6274000,11581.1983100,6555.31360500,5526.28969400,5128.82699400,6629.56855500,6919.57138600,9980.38083900,16020.5617600,47.9796686500,31.6478574300
ReAtlas_NonPowered_Dams.72,72,PA00123,40.0024912000,-79.9598677900,NHD,MAXWELL LOCKS AND DAM,CELRP,FAYETTE,BROWNSVILLE,PA,MONONGAHELA RIVER,1964,30900,CE,20,Lock/Dam lift from USACE,5,9815.29336100,13516.0031900,14005.8829800,17438.8182600,15471.6775100,11630.3460000,7958.84613600,5394.90505600,3612.46104500,4331.02166100,4150.94353200,8851.70985700,11741.0293200,123133.059400,14400.8624000,13478.6701700,18580.4944400,15952.8095500,12391.7559100,8206.34714900,5748.09611000,3848.95991100,4465.70604000,4422.69551100,9126.97679000,12509.6853900,47.9796686500,29.2963367800
ReAtlas_NonPowered_Dams.75,75,FL00156,29.5086170900,-81.8057250500,NHD,RODMAN DAM AND SPILLWAY,FL-DEP,PUTNAM,WELAKA,FL,OKLAWAHA RIVER,1968,130000,,38,Head estimated from NID,3,2710.14219000,2186.19787500,1717.76514300,1689.07893100,1198.38226200,734.387319700,1464.08773100,2712.13329300,3667.69315200,4926.82822800,5153.81446200,4131.34371900,2872.34713400,64597.7012700,4425.71337400,3140.89876800,3419.35160500,2347.73324100,1486.68508900,2868.27295600,5490.41087300,7424.83506100,9652.07744700,10433.3216400,8093.65532700,5814.74589700,26.6610582900,27.6589426100
ReAtlas_NonPowered_Dams.78,78,PA00122,40.1462172000,-79.9002637200,NHD,CHARLEROI LOCKS AND DAM,CELRP,WESTMORELAND,MONESSEN,PA,MONONGAHELA RIVER,1967,25100,CE,17,Lock/Dam lift from USACE,5,10308.8547700,14195.6545600,14710.1679300,18315.7281400,16249.6698500,12215.1772200,8359.05621500,5666.18751800,3794.11342300,4548.80681400,4359.67346700,9296.81753300,12331.4262400,109926.077900,12856.2575300,12032.9776200,16587.5914300,14241.7462400,11062.6433900,7326.15238100,5131.56794800,3436.12892600,3986.72422000,3948.32690600,8148.03730900,11167.9240200,47.9796686500,26.1540760600
ReAtlas_NonPowered_Dams.82,82,GA01703,33.3724836100,-81.9404539800,NHD,NEW SAVANNAH BLUFF LOCK AND DAM,CESAS,,AUGUSTA,GA,SAVANNAH RIVER,1937,11610,CE,15,Lock/Dam lift from USACE,3,6126.71170500,5932.00425900,6869.66808800,8733.49893200,7189.30054500,5914.57899800,6479.27733300,6314.63095900,5712.67777300,5107.69243500,4848.48579300,4550.98065900,5901.59220800,57644.7943300,4740.26839900,4958.30879500,6978.94458600,5559.65290300,4726.34386200,5010.57548100,5046.02564100,4565.00446500,3949.89705900,3874.42810000,3519.37892600,4715.96611000,26.6610582900,24.6819008500
ReAtlas_NonPowered_Dams.84,84,NC00173,35.6550596100,-79.0680591900,NHD,B. EVERETT JORDAN DAM,CESAW,CHATHAM,HAYWOOD,NC,HAW RIVER,1974,1646560,CE,61,Head estimated by upstream/downstream pool elevation,3,1459.54480900,1636.27430600,1840.69295500,2367.27787100,2195.87061900,956.906494200,991.617685300,844.944431500,997.782463600,1801.46436500,1079.41393300,1203.73060800,1646.88289800,55845.5609700,5317.36123800,5402.78570400,7692.88593200,6905.67862100,3109.63600700,3118.48657700,2745.79558600,3242.46966100,5665.33103000,3507.74548400,3785.54940900,5351.83572300,26.6610582900,23.9115190700
ReAtlas_NonPowered_Dams.88,88,KY03009,36.8927329400,-86.1241553100,NHD,BARREN RIVER LAKE DAM,CELRL,BARREN,,KY,BARREN RIVER,1964,815150,CE,118,Head estimated from NID,5,1266.84201700,2156.69624000,2231.56242500,1987.65978500,1657.26878200,1354.37044900,748.780183200,324.954701600,297.143092800,553.361745500,741.808039100,1211.01149400,2001.91356700,93766.1007600,13557.5497800,12670.6123600,12494.9429600,10081.9546000,8513.92256600,4555.18615400,2042.74921200,1867.91825300,3366.36281000,4663.19699300,7367.15916500,12584.5459100,47.9796686500,22.3092261400
ReAtlas_NonPowered_Dams.91,91,GA05180,32.4696582800,-84.9966509100,NHD,EAGLE AND PHOENIX MILL LAKE DAM,,MUSCOGEE,,AL/GA,CHATTAHOOCHEE RIVER,1851,486,,9,Head estimated from NID,3,8308.69993000,8943.25549200,11104.1861500,13792.1920800,11330.1813400,7512.07131300,7306.72453600,8275.21369400,6671.39846300,6024.95219000,4785.72432400,6093.39429300,8055.65080500,51074.0785900,4669.08664200,5236.23786000,7200.61501700,5724.43616800,3921.89531600,3691.63360500,4320.31599200,3482.99760400,3044.03373400,2498.52657500,3078.61327300,4205.68680000,26.6610582900,21.8685027600
ReAtlas_NonPowered_Dams.92,92,NY00791,43.0908300000,-77.5444400000,NID,LOCK 32 DAM ERIE CANAL,NYS CANAL CORP,MONROE,PITTSFORD,NY,NEW YORK STATE BARGE CANAL,1908,488,,28,Head estimated from NID,4,7039.26910100,6737.44160700,7385.85474300,11426.8753900,14968.6359900,6847.52185400,3809.63895800,3993.76106900,3437.91588700,4184.07011600,6226.47736300,7601.49867600,7962.71576000,123630.888200,10049.9352800,9950.96847700,17044.9504200,21607.7745000,10214.1369800,5499.35342200,5957.31178300,5128.18280000,6039.85851700,9287.75315300,10973.0418600,11877.6210200,66.2996379800,21.2868660000
ReAtlas_NonPowered_Dams.93,93,KY01198,38.0520187400,-84.8305411100,NHD,,COMMONWEALTH OF KENTUCKY,ANDERSON,CLIFTON KENTUCKY,KY,KENTUCKY RIVER,1844,17390,,22,Head estimated from NID,5,6383.77282100,9909.94559200,11544.8157400,11273.3877900,10782.7013000,7064.49607500,4810.37417800,2403.81229000,1856.39187800,2791.89554500,2523.67741600,4816.46074200,7251.49174200,88093.0191100,11614.5976700,12221.2673200,13212.5713800,12229.8191700,8279.69022500,5455.96179700,2817.30231100,2175.71777600,3166.58847600,2957.78594900,5462.86522300,8498.85181500,47.9796686500,20.9594626300
ReAtlas_NonPowered_Dams.95,95,KY01106,38.5081000000,-85.0122000000,NID,STEVE BOONE,STEVE BOONE,HENRY,NO TOWN,KY,TRIB-KENTUCKY RIVER,1992,0,,18,Head estimated from NID,5,7569.38688000,11750.4513800,13688.9546700,13367.1162800,12785.2979700,8376.53616400,5703.77176800,2850.25575300,2201.16672700,3310.41503200,2992.38260100,5710.98874700,8598.26124600,86411.8854200,11392.9491000,11988.0413000,12960.4276900,11996.4299500,8121.68376400,5351.84229600,2763.53798500,2134.19720500,3106.15850500,2901.34068700,5358.61398000,8336.66295800,47.9796686500,20.5594802100
