FID,gid,pen_power_,pen_head_f,pen_class
ReAtlas_smallhydro.2679,2679,1222.292,225.951,Small Hydro
ReAtlas_smallhydro.2697,2697,1387.353,355.906,Small Hydro
ReAtlas_smallhydro.2704,2704,1165.753,46.358,Small Hydro
ReAtlas_smallhydro.2705,2705,1984.415,110.236,Small Hydro
ReAtlas_smallhydro.2706,2706,1394.052,56.496,Small Hydro
ReAtlas_smallhydro.2711,2711,1220.384,11.581,Small Hydro
ReAtlas_smallhydro.2715,2715,2841.399,26.017,Small Hydro
ReAtlas_smallhydro.2717,2717,1764.775,18.93,Small Hydro
ReAtlas_smallhydro.2718,2718,1707.041,14.928,Small Hydro
ReAtlas_smallhydro.2720,2720,2688.009,23.655,Small Hydro
ReAtlas_smallhydro.2721,2721,3829.994,33.858,Small Hydro
ReAtlas_smallhydro.2722,2722,2991.597,25.984,Small Hydro
ReAtlas_smallhydro.2725,2725,1302.965,11.155,Small Hydro
ReAtlas_smallhydro.2726,2726,1114.364,9.711,Small Hydro
ReAtlas_smallhydro.2727,2727,1682.144,14.633,Small Hydro
ReAtlas_smallhydro.2728,2728,1315.941,11.417,Small Hydro
ReAtlas_smallhydro.2732,2732,2837.762,515.322,Small Hydro
ReAtlas_smallhydro.2733,2733,2035.785,289.469,Small Hydro
ReAtlas_smallhydro.2734,2734,2407.28,310.269,Small Hydro
ReAtlas_smallhydro.2739,2739,1076.523,112.762,Small Hydro
ReAtlas_smallhydro.2741,2741,1678.274,144.16,Small Hydro
ReAtlas_smallhydro.2747,2747,1845.822,140.814,Small Hydro
ReAtlas_smallhydro.2749,2749,9488.886,272.507,Small Hydro
ReAtlas_smallhydro.2750,2750,1564.161,276.542,Small Hydro
ReAtlas_smallhydro.2751,2751,1922.373,252.395,Small Hydro
ReAtlas_smallhydro.2755,2755,1873.686,211.155,Small Hydro
ReAtlas_smallhydro.2757,2757,2871.791,52.165,Small Hydro
ReAtlas_smallhydro.2758,2758,1993.589,104.003,Small Hydro
ReAtlas_smallhydro.2759,2759,1171.684,270.472,Small Hydro
ReAtlas_smallhydro.2760,2760,2177.704,118.996,Small Hydro
ReAtlas_smallhydro.2761,2761,3844.739,51.64,Small Hydro
ReAtlas_smallhydro.2762,2762,1918.939,25.689,Small Hydro
ReAtlas_smallhydro.2763,2763,1497.212,99.114,Small Hydro
ReAtlas_smallhydro.2764,2764,1432.054,82.218,Small Hydro
ReAtlas_smallhydro.2765,2765,1509.401,95.341,Small Hydro
ReAtlas_smallhydro.2768,2768,1986.2,19.127,Small Hydro
ReAtlas_smallhydro.2770,2770,2765.282,26.542,Small Hydro
ReAtlas_smallhydro.2774,2774,1432.184,13.583,Small Hydro
ReAtlas_smallhydro.2787,2787,3404.744,119.127,Small Hydro
ReAtlas_smallhydro.2807,2807,1365.796,26.115,Small Hydro
