FID,lat,lon,gid,class
ReAtlas_us_geothermal.299,42.70831008946757,-104.12551824645871,299,3
ReAtlas_us_geothermal.301,43.464704160209756,-100.05457812733903,301,2
ReAtlas_us_geothermal.306,43.50773269947268,-105.27265199606634,306,3
ReAtlas_us_geothermal.312,43.55439077610767,-99.81925397869122,312,3
ReAtlas_us_geothermal.410,41.884785674006196,-90.86186046431794,410,3
ReAtlas_us_geothermal.488,44.5446830227143,-92.25598342255233,488,5
ReAtlas_us_geothermal.679,42.6939994090657,-94.83801376564486,679,5
ReAtlas_us_geothermal.786,34.08361188055696,-97.62571902273237,786,3
ReAtlas_us_geothermal.878,32.801736915186716,-103.46248637159056,878,5
ReAtlas_us_geothermal.862,40.37299689790876,-104.56115117225119,862,3
ReAtlas_us_geothermal.867,32.41905618284485,-93.72071819223709,867,2
ReAtlas_us_geothermal.870,31.797523392594208,-99.30782682930953,870,5
ReAtlas_us_geothermal.875,31.3768770162702,-101.67389982230759,875,5
ReAtlas_us_geothermal.901,33.936403386188694,-99.3542544611683,901,5
ReAtlas_us_geothermal.917,37.24825096550948,-108.7896878980909,917,3
ReAtlas_us_geothermal.931,39.36493276376205,-97.04384346768325,931,4
ReAtlas_us_geothermal.680,36.41760594626308,-96.7115946815693,680,3
ReAtlas_us_geothermal.961,30.94977290185308,-95.35721688883444,961,3
ReAtlas_us_geothermal.964,31.146061598829448,-94.19140728342768,964,3
ReAtlas_us_geothermal.647,36.79187849498995,-100.45910164671545,647,5
ReAtlas_us_geothermal.764,34.37528473185208,-95.04200303993366,764,5
ReAtlas_us_geothermal.658,36.33349005588943,-100.0839228180692,658,3
ReAtlas_us_geothermal.681,35.95872836866077,-102.37624064191226,681,4
ReAtlas_us_geothermal.768,33.95844633227877,-87.04170138973723,768,3
ReAtlas_us_geothermal.671,36.29356178186771,-100.169576140137,671,3
ReAtlas_us_geothermal.691,36.04246550744825,-92.66881997108698,691,3
ReAtlas_us_geothermal.731,34.875130167496856,-95.58363648094735,731,5
ReAtlas_us_geothermal.755,34.70983240375402,-94.33560641825244,755,5
ReAtlas_us_geothermal.708,35.5006314324635,-100.04323203576485,708,5
ReAtlas_us_geothermal.713,36.29553384734412,-101.47261612727124,713,5
ReAtlas_us_geothermal.733,34.7501690119146,-90.54191167327002,733,5
ReAtlas_us_geothermal.720,35.7946008612683,-103.25969647533441,720,5
ReAtlas_us_geothermal.729,34.95861496203365,-95.29185419969156,729,5
ReAtlas_us_geothermal.740,34.70843982996393,-98.16703282800785,740,5
ReAtlas_us_geothermal.757,34.41681110066973,-102.20904221005526,757,5
