FID,gid,class
ReAtlas_us_geothermal.299,299,3
ReAtlas_us_geothermal.301,301,2
ReAtlas_us_geothermal.306,306,3
ReAtlas_us_geothermal.312,312,3
ReAtlas_us_geothermal.410,410,3
ReAtlas_us_geothermal.488,488,5
ReAtlas_us_geothermal.679,679,5
ReAtlas_us_geothermal.786,786,3
ReAtlas_us_geothermal.878,878,5
ReAtlas_us_geothermal.862,862,3
ReAtlas_us_geothermal.867,867,2
ReAtlas_us_geothermal.870,870,5
ReAtlas_us_geothermal.875,875,5
ReAtlas_us_geothermal.901,901,5
ReAtlas_us_geothermal.917,917,3
ReAtlas_us_geothermal.931,931,4
ReAtlas_us_geothermal.680,680,3
ReAtlas_us_geothermal.961,961,3
ReAtlas_us_geothermal.964,964,3
ReAtlas_us_geothermal.647,647,5
ReAtlas_us_geothermal.764,764,5
ReAtlas_us_geothermal.658,658,3
ReAtlas_us_geothermal.681,681,4
ReAtlas_us_geothermal.768,768,3
ReAtlas_us_geothermal.671,671,3
ReAtlas_us_geothermal.691,691,3
ReAtlas_us_geothermal.731,731,5
ReAtlas_us_geothermal.755,755,5
ReAtlas_us_geothermal.708,708,5
ReAtlas_us_geothermal.713,713,5
ReAtlas_us_geothermal.733,733,5
ReAtlas_us_geothermal.720,720,5
ReAtlas_us_geothermal.729,729,5
ReAtlas_us_geothermal.740,740,5
ReAtlas_us_geothermal.757,757,5
ReAtlas_us_geothermal.792,792,4
ReAtlas_us_geothermal.838,838,2
ReAtlas_us_geothermal.761,761,4
ReAtlas_us_geothermal.769,769,5
ReAtlas_us_geothermal.770,770,5
ReAtlas_us_geothermal.793,793,3
ReAtlas_us_geothermal.835,835,5
ReAtlas_us_geothermal.855,855,5
ReAtlas_us_geothermal.802,802,5
ReAtlas_us_geothermal.818,818,5
ReAtlas_us_geothermal.829,829,4
ReAtlas_us_geothermal.601,601,4
ReAtlas_us_geothermal.807,807,3
ReAtlas_us_geothermal.811,811,5
ReAtlas_us_geothermal.812,812,5
ReAtlas_us_geothermal.559,559,2
ReAtlas_us_geothermal.581,581,5
ReAtlas_us_geothermal.675,675,2
ReAtlas_us_geothermal.509,509,3
ReAtlas_us_geothermal.293,293,2
ReAtlas_us_geothermal.294,294,2
ReAtlas_us_geothermal.303,303,4
ReAtlas_us_geothermal.854,854,2
ReAtlas_us_geothermal.273,273,2
ReAtlas_us_geothermal.249,249,1
ReAtlas_us_geothermal.617,617,5
ReAtlas_us_geothermal.636,636,5
ReAtlas_us_geothermal.369,369,3
ReAtlas_us_geothermal.289,289,4
ReAtlas_us_geothermal.290,290,5
ReAtlas_us_geothermal.274,274,2
ReAtlas_us_geothermal.278,278,2
ReAtlas_us_geothermal.279,279,4
ReAtlas_us_geothermal.281,281,3
ReAtlas_us_geothermal.282,282,2
ReAtlas_us_geothermal.362,362,5
ReAtlas_us_geothermal.285,285,3
ReAtlas_us_geothermal.640,640,2
ReAtlas_us_geothermal.674,674,2
ReAtlas_us_geothermal.872,872,5
ReAtlas_us_geothermal.900,900,5
ReAtlas_us_geothermal.643,643,2
ReAtlas_us_geothermal.650,650,2
ReAtlas_us_geothermal.787,787,2
ReAtlas_us_geothermal.791,791,2
ReAtlas_us_geothermal.844,844,2
ReAtlas_us_geothermal.797,797,2
ReAtlas_us_geothermal.621,621,2
ReAtlas_us_geothermal.809,809,2
ReAtlas_us_geothermal.639,639,2
ReAtlas_us_geothermal.377,377,4
ReAtlas_us_geothermal.629,629,2
ReAtlas_us_geothermal.542,542,3
ReAtlas_us_geothermal.649,649,2
ReAtlas_us_geothermal.652,652,3
ReAtlas_us_geothermal.36,36,2
ReAtlas_us_geothermal.657,657,2
ReAtlas_us_geothermal.550,550,2
ReAtlas_us_geothermal.613,613,2
ReAtlas_us_geothermal.817,817,2
ReAtlas_us_geothermal.268,268,5
ReAtlas_us_geothermal.272,272,4
ReAtlas_us_geothermal.890,890,3
ReAtlas_us_geothermal.661,661,2
ReAtlas_us_geothermal.662,662,2
ReAtlas_us_geothermal.667,667,2
ReAtlas_us_geothermal.663,663,2
ReAtlas_us_geothermal.664,664,2
ReAtlas_us_geothermal.666,666,4
ReAtlas_us_geothermal.669,669,2
ReAtlas_us_geothermal.670,670,2
ReAtlas_us_geothermal.254,254,2
ReAtlas_us_geothermal.270,270,2
ReAtlas_us_geothermal.673,673,2
ReAtlas_us_geothermal.676,676,2
ReAtlas_us_geothermal.677,677,2
ReAtlas_us_geothermal.678,678,1
ReAtlas_us_geothermal.684,684,2
ReAtlas_us_geothermal.683,683,5
ReAtlas_us_geothermal.685,685,2
ReAtlas_us_geothermal.686,686,1
ReAtlas_us_geothermal.687,687,2
ReAtlas_us_geothermal.690,690,2
ReAtlas_us_geothermal.693,693,2
ReAtlas_us_geothermal.695,695,2
ReAtlas_us_geothermal.823,823,2
ReAtlas_us_geothermal.803,803,2
ReAtlas_us_geothermal.692,692,3
ReAtlas_us_geothermal.696,696,1
ReAtlas_us_geothermal.741,741,2
