FID,gid,speed_90
ReAtlas_us_windspeed_offshore.12663,12663,5.125
ReAtlas_us_windspeed_offshore.12649,12649,3.875
ReAtlas_us_windspeed_offshore.12650,12650,3.875
ReAtlas_us_windspeed_offshore.12654,12654,4.375
ReAtlas_us_windspeed_offshore.12666,12666,5.375
ReAtlas_us_windspeed_offshore.12626,12626,3.625
ReAtlas_us_windspeed_offshore.12680,12680,5.625
ReAtlas_us_windspeed_offshore.12683,12683,5.875
ReAtlas_us_windspeed_offshore.12710,12710,8.125
ReAtlas_us_windspeed_offshore.12607,12607,4.375
ReAtlas_us_windspeed_offshore.12622,12622,4.125
ReAtlas_us_windspeed_offshore.12623,12623,3.375
ReAtlas_us_windspeed_offshore.12609,12609,4.375
ReAtlas_us_windspeed_offshore.12611,12611,4.375
ReAtlas_us_windspeed_offshore.12586,12586,6.125
ReAtlas_us_windspeed_offshore.12590,12590,6.625
ReAtlas_us_windspeed_offshore.12592,12592,6.875
ReAtlas_us_windspeed_offshore.12593,12593,6.625
ReAtlas_us_windspeed_offshore.12595,12595,6.625
ReAtlas_us_windspeed_offshore.12596,12596,6.125
ReAtlas_us_windspeed_offshore.12597,12597,5.875
ReAtlas_us_windspeed_offshore.12617,12617,6.125
ReAtlas_us_windspeed_offshore.12600,12600,5.375
ReAtlas_us_windspeed_offshore.12601,12601,5.125
ReAtlas_us_windspeed_offshore.12604,12604,4.625
ReAtlas_us_windspeed_offshore.12627,12627,3.375
ReAtlas_us_windspeed_offshore.12629,12629,4.125
ReAtlas_us_windspeed_offshore.12704,12704,7.125
ReAtlas_us_windspeed_offshore.12728,12728,8.125
ReAtlas_us_windspeed_offshore.12248,12248,5.375
ReAtlas_us_windspeed_offshore.12635,12635,3.625
ReAtlas_us_windspeed_offshore.12636,12636,3.375
ReAtlas_us_windspeed_offshore.12676,12676,5.375
ReAtlas_us_windspeed_offshore.12677,12677,5.375
ReAtlas_us_windspeed_offshore.12684,12684,6.625
ReAtlas_us_windspeed_offshore.12685,12685,6.875
ReAtlas_us_windspeed_offshore.12686,12686,6.375
ReAtlas_us_windspeed_offshore.12687,12687,6.375
ReAtlas_us_windspeed_offshore.12688,12688,6.375
ReAtlas_us_windspeed_offshore.12689,12689,6.875
ReAtlas_us_windspeed_offshore.11037,11037,10.125
ReAtlas_us_windspeed_offshore.12646,12646,3.875
ReAtlas_us_windspeed_offshore.12652,12652,3.875
ReAtlas_us_windspeed_offshore.12653,12653,6.125
ReAtlas_us_windspeed_offshore.12660,12660,4.625
ReAtlas_us_windspeed_offshore.12690,12690,6.375
ReAtlas_us_windspeed_offshore.12691,12691,7.375
ReAtlas_us_windspeed_offshore.29539,29539,7.125
ReAtlas_us_windspeed_offshore.12655,12655,4.125
ReAtlas_us_windspeed_offshore.12662,12662,4.875
ReAtlas_us_windspeed_offshore.12669,12669,5.875
ReAtlas_us_windspeed_offshore.10990,10990,8.125
ReAtlas_us_windspeed_offshore.12698,12698,6.875
ReAtlas_us_windspeed_offshore.12700,12700,6.875
ReAtlas_us_windspeed_offshore.12701,12701,7.125
ReAtlas_us_windspeed_offshore.12703,12703,6.875
ReAtlas_us_windspeed_offshore.12751,12751,6.625
ReAtlas_us_windspeed_offshore.12707,12707,7.875
ReAtlas_us_windspeed_offshore.12708,12708,7.625
ReAtlas_us_windspeed_offshore.12740,12740,8.375
ReAtlas_us_windspeed_offshore.12772,12772,6.875
ReAtlas_us_windspeed_offshore.12924,12924,7.375
ReAtlas_us_windspeed_offshore.12935,12935,7.875
ReAtlas_us_windspeed_offshore.12937,12937,8.125
ReAtlas_us_windspeed_offshore.12940,12940,8.375
ReAtlas_us_windspeed_offshore.12929,12929,7.625
ReAtlas_us_windspeed_offshore.12693,12693,6.125
ReAtlas_us_windspeed_offshore.12694,12694,6.875
ReAtlas_us_windspeed_offshore.12695,12695,6.875
ReAtlas_us_windspeed_offshore.12659,12659,4.375
ReAtlas_us_windspeed_offshore.12678,12678,5.625
ReAtlas_us_windspeed_offshore.12834,12834,7.125
ReAtlas_us_windspeed_offshore.12712,12712,6.375
ReAtlas_us_windspeed_offshore.10991,10991,8.375
ReAtlas_us_windspeed_offshore.11068,11068,8.375
ReAtlas_us_windspeed_offshore.10931,10931,8.625
ReAtlas_us_windspeed_offshore.10932,10932,8.875
ReAtlas_us_windspeed_offshore.10952,10952,9.125
ReAtlas_us_windspeed_offshore.10941,10941,5.875
ReAtlas_us_windspeed_offshore.10994,10994,7.875
ReAtlas_us_windspeed_offshore.10996,10996,8.375
ReAtlas_us_windspeed_offshore.10958,10958,6.875
ReAtlas_us_windspeed_offshore.10959,10959,6.625
ReAtlas_us_windspeed_offshore.10960,10960,6.375
ReAtlas_us_windspeed_offshore.10961,10961,6.625
ReAtlas_us_windspeed_offshore.10962,10962,6.375
ReAtlas_us_windspeed_offshore.10967,10967,7.125
ReAtlas_us_windspeed_offshore.10968,10968,6.875
ReAtlas_us_windspeed_offshore.10997,10997,9.875
ReAtlas_us_windspeed_offshore.10999,10999,8.125
ReAtlas_us_windspeed_offshore.10973,10973,7.125
